symbol	CYFZ_PBMC	FY2H_PBMC	FLWA_PBMC	X453W_PBMC	X684C_PBMC	CZJE_PBMC	DZQV_PBMC	X925L_PBMC	X9JD4_PBMC	G4YW_PBMC	X4DUY_PBMC	X36TS_PBMC	CR3L_PBMC
A1BG	3.620456	2.087283	3.764533	1.639494	3.264896	4.204664	3.817458	7.193748	7.536929	3.8876958	2.235442	1.997778	3.808482
A1BG-AS1	9.49913	4.116586	5.10439	4.96349	10.23307	7.60249	7.095302	7.407794	9.3944105	6.499663	5.6820435	5.969403	4.954699
A2M	36.639632	40.423367	42.562249	67.06031	22.891169	33.671085	44.335379	55.98437981	18.025644	26.9692806	24.77942	41.728036	39.621263
A2M-AS1	3.92606	1.76982	4.36168	4.91429	2.76332	6.67462	4.43354	3.60954	2.95056	6.57057	3.58926	6.98946	5.69175
AAAS	66.777418	52.497461	70.819397	70.72343538	74.9208489	56.279657	69.71563812	53.018137	71.08375101	72.573925	65.57487	42.213253	46.31990995
AACS	11.408508	13.302844	11.9525344	18.770588	18.764878	14.313486	10.468331	18.37658	11.7746996	13.74756	11.769908	10.608188	10.9012
AAED1	18.67501	20.015592	17.17599	17.74833	16.326754	16.3896	12.3016	17.38905	12.78949979	11.83014	10.5431668	13.189261	15.11226
AAGAB	53.90044092	57.675161	45.985377	70.02239	68.62186	48.01179	38.876672	47.94251	44.429511	32.756612	45.63524	46.81439	43.25957
AAK1	20.983931	25.815507	26.421972	23.53794	25.297126	26.15814	28.302937	25.980916	35.59625	23.433547	27.458923	23.721257	28.312647
AAMDC	14.725077	10.581721	9.577439	11.698367	8.85085	9.408438	7.6212593	12.192697	9.444943486	12.166892	6.526244	8.36778	6.719532
AAMP	126.84851	138.54376	153.844659	149.50304	155.38464	139.267503	143.27206	123.538941	127.490117	138.0151	148.302355	124.163825	130.88806
AAR2	36.47566	43.58303	41.90292	47.68971	31.943464	41.57483	30.344874	36.314379	31.87875	32.31699	33.26352	39.51378	44.9853
AARS	31.027717	23.887175	20.535528	27.6905	30.95356	22.674645	29.860268	29.197338	22.741684	24.53886	34.61077	17.488759	23.175182
AARS2	9.24615	8.21295	7.13226	8.62853	6.9846	6.71069	5.660007	9.465616	6.85052	6.40205	9.327964	4.94361	7.22499
AARSD1	36.51792	55.261551	52.934183	66.809367	50.728511	59.530112	33.536262	46.36418432	45.394331	44.750073	47.8725921	40.664494	66.726924
AASDH	9.069058077	11.5538	17.4036009	9.9120853	16.256174	10.657523	7.866999	7.734028	8.645908691	11.0032121	10.729853	6.88477633	12.058769
AASDHPPT	35.691145	29.908105	38.5266255	24.99204	37.357837	29.62365	28.730413	31.712469	30.902773	40.41846	29.544187	16.645586	20.079322
AASS	5.104481	3.86106	4.49934	6.134975	5.839072	5.739357	3.6523588	7.04234	5.13564389	1.65103	2.847332	1.695248	4.997287
AATF	67.191308	82.095749	79.75081	109.298333	78.990139	69.300319	58.13734	55.776739	51.84275676	50.980505	60.21646	67.80082	58.255631
AATK	0.287781	0.447735	0.227799	0.600972002	1.6820301	0.57291	1.0374069	0.81205	0.883281	1.901693042	0.761046	1.279659	1.182638
ABAT	10.630993	5.969414	8.80078	11.518277	8.904489	7.574296	5.63365	9.755467	5.724848	9.979037	9.18036	6.875218	9.40729
